车型,销售时间,销量,最低售价,最高售价
迈腾,2020-5-1 0:0:0,23858,186900.0,309900.0
五菱荣光V,2020-5-1 0:0:0,23139,39800.0,49800.00000000001
哈弗M6,2020-5-1 0:0:0,22743,66000.0,92899.99999999999
奥迪A4L,2020-5-1 0:0:0,22083,305800.0,396800.0
天籁,2020-5-1 0:0:0,21926,179800.0,269800.0
传祺GS4,2020-5-1 0:0:0,21816,89800.0,139800.0
荣威RX5,2020-5-1 0:0:0,21566,99800.0,139800.0
T-ROC探歌,2020-5-1 0:0:0,21248,157800.0,204899.99999999997
轩逸,2020-6-1 0:0:0,97997,99800.0,143000.0
朗逸,2020-6-1 0:0:0,70832,99900.0,161900.0
卡罗拉,2020-6-1 0:0:0,66906,109800.0,159800.0
思域,2020-6-1 0:0:0,52936,119900.0,169899.99999999997
宝来,2020-6-1 0:0:0,47360,98800.00000000001,157000.0
哈弗H6,2020-6-1 0:0:0,46981,98000.0,154900.0
速腾,2020-6-1 0:0:0,43973,129900.0,192900.0
雅阁,2020-6-1 0:0:0,41193,179800.0,259800.0
英朗,2020-6-1 0:0:0,39971,119900.0,125900.0
五菱宏光,2020-6-1 0:0:0,38695,45800.0,58800.0
本田CR-V,2020-6-1 0:0:0,38571,169800.0,276800.0
帝豪,2020-6-1 0:0:0,38115,62800.0,91800.0
博越,2020-6-1 0:0:0,37072,89800.0,146800.0
RAV4荣放,2020-6-1 0:0:0,34747,174800.0,259800.0
凯美瑞,2020-6-1 0:0:0,34489,179800.0,279800.0
皓影,2020-6-1 0:0:0,34211,169800.0,252800.0
雷凌,2020-6-1 0:0:0,33991,113800.00000000001,152800.0
途观L,2020-6-1 0:0:0,33865,215799.99999999997,285800.0
逸动,2020-6-1 0:0:0,33854,72900.0,103900.0
宝马5系,2020-6-1 0:0:0,33603,421900.0,549900.0
奥迪A6L,2020-6-1 0:0:0,32591,419799.99999999994,653800.0
别克GL8,2020-6-1 0:0:0,32532,232900.0,533900.0
长安CS75 PLUS,2020-6-1 0:0:0,32499,106900.0,154900.0
缤智,2020-6-1 0:0:0,31753,127800.0,176800.0
本田XR-V,2020-6-1 0:0:0,31534,127899.99999999999,175900.0
桑塔纳,2020-6-1 0:0:0,31393,86900.0,115900.0
奇骏,2020-6-1 0:0:0,31143,188800.0,273300.0
途岳,2020-6-1 0:0:0,31046,165799.99999999997,223800.0
宝马3系,2020-6-1 0:0:0,30680,293900.0,409900.0
奔驰GLC,2020-6-1 0:0:0,29580,394799.99999999994,587800.0
昂科威,2020-6-1 0:0:0,28550,189899.99999999997,279900.0
奔驰C级,2020-6-1 0:0:0,28473,307800.0,474799.99999999994
奔驰E级,2020-6-1 0:0:0,27741,430800.0,642800.0
荣威Ei5,2020-6-1 0:0:0,27319,128800.00000000001,161100.0
探岳,2020-6-1 0:0:0,27087,186900.0,264900.0
亚洲龙,2020-6-1 0:0:0,26143,199800.0,289800.0
宝马X3,2020-6-1 0:0:0,26127,389799.99999999994,479799.99999999994
荣威RX5,2020-6-1 0:0:0,26002,99800.0,139800.0
Model 3,2020-6-1 0:0:0,25968,266700.0,339900.0
荣威i5,2020-6-1 0:0:0,25732,67900.0,92899.99999999999
凌派,2020-6-1 0:0:0,25589,99800.0,169800.0
逍客,2020-6-1 0:0:0,25387,154900.0,188900.0
君威,2020-6-1 0:0:0,25267,188800.0,249800.0
奥迪A4L,2020-6-1 0:0:0,24227,305800.0,396800.0
迈腾,2020-6-1 0:0:0,23792,186900.0,309900.0
帕萨特,2020-6-1 0:0:0,23038,185900.0,282900.0
宋Pro,2020-6-1 0:0:0,22480,89800.0,129900.0
缤越,2020-6-1 0:0:0,22297,75800.0,119800.0
五菱荣光V,2020-6-1 0:0:0,22210,39800.0,49800.00000000001
天籁,2020-6-1 0:0:0,21607,179800.0,269800.0
轩逸,2020-7-1 0:0:0,99920,99800.0,143000.0
朗逸,2020-7-1 0:0:0,81474,99900.0,161900.0
卡罗拉,2020-7-1 0:0:0,57484,109800.0,159800.0
哈弗H6,2020-7-1 0:0:0,51251,98000.0,154900.0
速腾,2020-7-1 0:0:0,50839,129900.0,192900.0
思域,2020-7-1 0:0:0,48989,119900.0,169899.99999999997
宝来,2020-7-1 0:0:0,47356,98800.00000000001,157000.0
英朗,2020-7-1 0:0:0,47009,119900.0,125900.0
五菱宏光,2020-7-1 0:0:0,45224,45800.0,58800.0
本田CR-V,2020-7-1 0:0:0,42817,169800.0,276800.0
雷凌,2020-7-1 0:0:0,39777,113800.00000000001,152800.0
雅阁,2020-7-1 0:0:0,39125,179800.0,259800.0
博越,2020-7-1 0:0:0,37568,89800.0,146800.0
帝豪,2020-7-1 0:0:0,37136,62800.0,91800.0
